web-scraper-order,web-scraper-start-url,hyperlink,hyperlink-href
"1623216670-59","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-55.1:Joint tactics, techniques, and procedures for unmanned aerial vehicles.JP3-55.1_930827","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_55.1_930827.pdf"
"1623216670-23","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-07.4:Joint counterdrug operations.JP3-07.4_070613","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_07.4_070613.pdf"
"1623216670-60","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-55:Doctrine for reconnaissance, surveillance, and target acquisition support for joint operations (RSTA).JP3-55_930414","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_55_930414.pdf"
"1623216670-17","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","TestPub Joint Pub3-06.:Doctrine for joint riverine operations.JP3-06T_9109","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_06T_9109.pdf"
"1623216670-50","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","United States. Joint Chiefs of Staff.:Command and Control for Joint Maritime Operations. JP 3-32 (8/8/06).","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_32_060808.pdf"
"1623216670-30","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","United States. Joint Chiefs of Staff.:Joint Security Operations in Theater. JP 3-10 (8/1/06).","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_10_060801.pdf"
"1623216670-48","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","United States. Joint Chiefs of Staff.:Joint Doctrine and Joint Tactics, Techniques, and Procedures for Air Mobility Operations.","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_17C1_060414.pdf"
"1623216670-2","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-01:Countering air and missile threats. JP3-01茁120323","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3-01_120323.pdf"
"1623216670-28","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-09.2:JTTP for radar beacon operations (j-beacon).JP3-09.2_930423","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_09.2_930423.pdf"
"1623216670-3","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-01.1:Defense of the U.S. against air attack.JP3-01.1_820201","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_01.1_820201.pdf"
"1623216670-34","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-10:Joint doctrine for rear area operations.JP3-10_960528","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_10_960528.pdf"
"1623216670-45","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-15:Barriers, obstacles, and mine warfare for Joint Operations.JP3-15_110617","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3_15_110617.pdf"
"1623216670-52","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/","Joint Pub3-50.1:National Search and Rescue Manual Volume II: Planning Handbook.JP3-50.1_910201","http://edocs.nps.edu/dodpubs/topic/jointpubs/JP3/JP3-50.1_910201.pdf"
